2017102506,nba.g.1947723,nba.t.6,nba.t.29,https://sports.yahoo.com/nba/memphis-grizzlies-dallas-mavericks-2017102506/,Thu, 26 Oct 2017 00:30:00,4638
2017102521,nba.g.1947258,nba.t.21,nba.t.26,https://sports.yahoo.com/nba/utah-jazz-phoenix-suns-2017102521/,Thu, 26 Oct 2017 02:00:00,4638
2017102513,nba.g.1947200,nba.t.13,nba.t.27,https://sports.yahoo.com/nba/washington-wizards-los-angeles-lakers-2017102513/,Thu, 26 Oct 2017 02:30:00,4638
2017102509,nba.g.1947352,nba.t.9,nba.t.28,https://sports.yahoo.com/nba/toronto-raptors-golden-state-warriors-2017102509/,Thu, 26 Oct 2017 02:30:00,4638
2017102521,nba.g.1947258,nba.t.21,nba.t.26,https://sports.yahoo.com/nba/utah-jazz-phoenix-suns-2017102521/,Thu, 26 Oct 2017 02:00:00,4639
2017102513,nba.g.1947200,nba.t.13,nba.t.27,https://sports.yahoo.com/nba/washington-wizards-los-angeles-lakers-2017102513/,Thu, 26 Oct 2017 02:30:00,4639
2017102509,nba.g.1947352,nba.t.9,nba.t.28,https://sports.yahoo.com/nba/toronto-raptors-golden-state-warriors-2017102509/,Thu, 26 Oct 2017 02:30:00,4639
2017102604,nba.g.1947185,nba.t.4,nba.t.1,https://sports.yahoo.com/nba/atlanta-hawks-chicago-bulls-2017102604/,Fri, 27 Oct 2017 00:00:00,4642
2017102629,nba.g.1947681,nba.t.29,nba.t.6,https://sports.yahoo.com/nba/dallas-mavericks-memphis-grizzlies-2017102629/,Fri, 27 Oct 2017 00:00:00,4642
2017102615,nba.g.1948119,nba.t.15,nba.t.2,https://sports.yahoo.com/nba/boston-celtics-milwaukee-bucks-2017102615/,Fri, 27 Oct 2017 00:00:00,4642
2017102622,nba.g.1947443,nba.t.22,nba.t.12,https://sports.yahoo.com/nba/los-angeles-clippers-portland-trail-blazers-2017102622/,Fri, 27 Oct 2017 02:00:00,4642
2017102623,nba.g.1947611,nba.t.23,nba.t.3,https://sports.yahoo.com/nba/new-orleans-pelicans-sacramento-kings-2017102623/,Fri, 27 Oct 2017 02:30:00,4642
2017102622,nba.g.1947443,nba.t.22,nba.t.12,https://sports.yahoo.com/nba/los-angeles-clippers-portland-trail-blazers-2017102622/,Fri, 27 Oct 2017 02:00:00,4643
2017102623,nba.g.1947611,nba.t.23,nba.t.3,https://sports.yahoo.com/nba/new-orleans-pelicans-sacramento-kings-2017102623/,Fri, 27 Oct 2017 02:30:00,4643
2017102719,nba.g.1947514,nba.t.19,nba.t.24,https://sports.yahoo.com/nba/san-antonio-spurs-orlando-magic-2017102719/,Fri, 27 Oct 2017 23:00:00,4658
2017102730,nba.g.1947683,nba.t.30,nba.t.10,https://sports.yahoo.com/nba/houston-rockets-charlotte-hornets-2017102730/,Fri, 27 Oct 2017 23:00:00,4658
2017102701,nba.g.1947128,nba.t.1,nba.t.7,https://sports.yahoo.com/nba/denver-nuggets-atlanta-hawks-2017102701/,Fri, 27 Oct 2017 23:30:00,4658
2017102718,nba.g.1947565,nba.t.18,nba.t.17,https://sports.yahoo.com/nba/brooklyn-nets-new-york-knicks-2017102718/,Fri, 27 Oct 2017 23:30:00,4658
2017102716,nba.g.1947852,nba.t.16,nba.t.25,https://sports.yahoo.com/nba/oklahoma-city-thunder-minnesota-timberwolves-2017102716/,Sat, 28 Oct 2017 00:00:00,4658
2017102713,nba.g.1947209,nba.t.13,nba.t.28,https://sports.yahoo.com/nba/toronto-raptors-los-angeles-lakers-2017102713/,Sat, 28 Oct 2017 02:30:00,4658
2017102709,nba.g.1947359,nba.t.9,nba.t.27,https://sports.yahoo.com/nba/washington-wizards-golden-state-warriors-2017102709/,Sat, 28 Oct 2017 02:30:00,4658
2017102716,nba.g.1947852,nba.t.16,nba.t.25,https://sports.yahoo.com/nba/oklahoma-city-thunder-minnesota-timberwolves-2017102716/,Sat, 28 Oct 2017 00:00:00,4659
2017102713,nba.g.1947209,nba.t.13,nba.t.28,https://sports.yahoo.com/nba/toronto-raptors-los-angeles-lakers-2017102713/,Sat, 28 Oct 2017 02:30:00,4659
2017102709,nba.g.1947359,nba.t.9,nba.t.27,https://sports.yahoo.com/nba/washington-wizards-golden-state-warriors-2017102709/,Sat, 28 Oct 2017 02:30:00,4659
2017102713,nba.g.1947209,nba.t.13,nba.t.28,https://sports.yahoo.com/nba/toronto-raptors-los-angeles-lakers-2017102713/,Sat, 28 Oct 2017 02:30:00,4660
2017102709,nba.g.1947359,nba.t.9,nba.t.27,https://sports.yahoo.com/nba/washington-wizards-golden-state-warriors-2017102709/,Sat, 28 Oct 2017 02:30:00,4660
2017102803,nba.g.1948192,nba.t.3,nba.t.5,https://sports.yahoo.com/nba/cleveland-cavaliers-new-orleans-pelicans-2017102803/,Sat, 28 Oct 2017 23:00:00,4665
2017102804,nba.g.1947177,nba.t.4,nba.t.25,https://sports.yahoo.com/nba/oklahoma-city-thunder-chicago-bulls-2017102804/,Sun, 29 Oct 2017 00:00:00,4665
2017102829,nba.g.1947686,nba.t.29,nba.t.10,https://sports.yahoo.com/nba/houston-rockets-memphis-grizzlies-2017102829/,Sun, 29 Oct 2017 00:00:00,4665
2017102814,nba.g.1947811,nba.t.14,nba.t.2,https://sports.yahoo.com/nba/boston-celtics-miami-heat-2017102814/,Sun, 29 Oct 2017 00:00:00,4665
2017102806,nba.g.1947729,nba.t.6,nba.t.20,https://sports.yahoo.com/nba/philadelphia-76ers-dallas-mavericks-2017102806/,Sun, 29 Oct 2017 00:30:00,4665
2017102826,nba.g.1947156,nba.t.26,nba.t.13,https://sports.yahoo.com/nba/los-angeles-lakers-utah-jazz-2017102826/,Sun, 29 Oct 2017 01:00:00,4665
2017102822,nba.g.1947448,nba.t.22,nba.t.21,https://sports.yahoo.com/nba/phoenix-suns-portland-trail-blazers-2017102822/,Sun, 29 Oct 2017 02:00:00,4665
2017102812,nba.g.1948010,nba.t.12,nba.t.8,https://sports.yahoo.com/nba/detroit-pistons-los-angeles-clippers-2017102812/,Sun, 29 Oct 2017 02:30:00,4665
2017102804,nba.g.1947177,nba.t.4,nba.t.25,https://sports.yahoo.com/nba/oklahoma-city-thunder-chicago-bulls-2017102804/,Sun, 29 Oct 2017 00:00:00,4666
2017102829,nba.g.1947686,nba.t.29,nba.t.10,https://sports.yahoo.com/nba/houston-rockets-memphis-grizzlies-2017102829/,Sun, 29 Oct 2017 00:00:00,4666
2017102814,nba.g.1947811,nba.t.14,nba.t.2,https://sports.yahoo.com/nba/boston-celtics-miami-heat-2017102814/,Sun, 29 Oct 2017 00:00:00,4666
2017102806,nba.g.1947729,nba.t.6,nba.t.20,https://sports.yahoo.com/nba/philadelphia-76ers-dallas-mavericks-2017102806/,Sun, 29 Oct 2017 00:30:00,4666
2017102826,nba.g.1947156,nba.t.26,nba.t.13,https://sports.yahoo.com/nba/los-angeles-lakers-utah-jazz-2017102826/,Sun, 29 Oct 2017 01:00:00,4666
2017102822,nba.g.1947448,nba.t.22,nba.t.21,https://sports.yahoo.com/nba/phoenix-suns-portland-trail-blazers-2017102822/,Sun, 29 Oct 2017 02:00:00,4666
2017102812,nba.g.1948010,nba.t.12,nba.t.8,https://sports.yahoo.com/nba/detroit-pistons-los-angeles-clippers-2017102812/,Sun, 29 Oct 2017 02:30:00,4666
